"tickers","tickers/_text"
"https://www.nyse.com/quote/XNYS:PFE","PFE"
"https://www.nyse.com/quote/XNYS:PM","PM"
"https://www.nyse.com/quote/XNYS:PSX","PSX"
"https://www.nyse.com/quote/XNYS:PNW","PNW"
"https://www.nyse.com/quote/XNYS:PXD","PXD"
"https://www.nyse.com/quote/XNYS:PBI","PBI"
"https://www.nyse.com/quote/XNYS:PCL","PCL"
"https://www.nyse.com/quote/XNYS:PNC","PNC"
"https://www.nyse.com/quote/XNYS:RL","RL"
"https://www.nyse.com/quote/XNYS:PPG","PPG"
"https://www.nyse.com/quote/XNYS:PPL","PPL"
"https://www.nyse.com/quote/XNYS:PX","PX"
"https://www.nyse.com/quote/XNYS:PCP","PCP"
"http://www.nasdaq.com/symbol/pcln","PCLN"
"https://www.nyse.com/quote/XNYS:PFG","PFG"
"https://www.nyse.com/quote/XNYS:PG","PG"
"https://www.nyse.com/quote/XNYS:PGR","PGR"
"https://www.nyse.com/quote/XNYS:PLD","PLD"
"https://www.nyse.com/quote/XNYS:PRU","PRU"
"https://www.nyse.com/quote/XNYS:PEG","PEG"
"https://www.nyse.com/quote/XNYS:PSA","PSA"
"https://www.nyse.com/quote/XNYS:PHM","PHM"
"https://www.nyse.com/quote/XNYS:PVH","PVH"
"https://www.nyse.com/quote/XNYS:QEP","QEP"
"https://www.nyse.com/quote/XNYS:PWR","PWR"
"http://www.nasdaq.com/symbol/qcom","QCOM"
"https://www.nyse.com/quote/XNYS:DGX","DGX"
"https://www.nyse.com/quote/XNYS:RRC","RRC"
"https://www.nyse.com/quote/XNYS:RTN","RTN"
"https://www.nyse.com/quote/XNYS:RHT","RHT"
"http://www.nasdaq.com/symbol/regn","REGN"
"https://www.nyse.com/quote/XNYS:RF","RF"
"https://www.nyse.com/quote/XNYS:RSG","RSG"
"https://www.nyse.com/quote/XNYS:RAI","RAI"
"https://www.nyse.com/quote/XNYS:RHI","RHI"
"https://www.nyse.com/quote/XNYS:ROK","ROK"
"https://www.nyse.com/quote/XNYS:COL","COL"
"https://www.nyse.com/quote/XNYS:ROP","ROP"
"http://www.nasdaq.com/symbol/rost","ROST"
"https://www.nyse.com/quote/XNYS:RCL","RCL"
"https://www.nyse.com/quote/XNYS:R","R"
"https://www.nyse.com/quote/XNYS:SWY","SWY"
"https://www.nyse.com/quote/XNYS:CRM","CRM"
"http://www.nasdaq.com/symbol/sndk","SNDK"
"https://www.nyse.com/quote/XNYS:SCG","SCG"
"https://www.nyse.com/quote/XNYS:SLB","SLB"
"https://www.nyse.com/quote/XNYS:SNI","SNI"
"http://www.nasdaq.com/symbol/stx","STX"
"https://www.nyse.com/quote/XNYS:SEE","SEE"
"https://www.nyse.com/quote/XNYS:SRE","SRE"
"https://www.nyse.com/quote/XNYS:SHW","SHW"
"http://www.nasdaq.com/symbol/sial","SIAL"
"https://www.nyse.com/quote/XNYS:SPG","SPG"
"https://www.nyse.com/quote/XNYS:SJM","SJM"
"https://www.nyse.com/quote/XNYS:SNA","SNA"
"https://www.nyse.com/quote/XNYS:SO","SO"
"https://www.nyse.com/quote/XNYS:LUV","LUV"
"https://www.nyse.com/quote/XNYS:SWN","SWN"
"https://www.nyse.com/quote/XNYS:SE","SE"
"https://www.nyse.com/quote/XNYS:STJ","STJ"
"https://www.nyse.com/quote/XNYS:SWK","SWK"
"http://www.nasdaq.com/symbol/spls","SPLS"
"http://www.nasdaq.com/symbol/sbux","SBUX"
"https://www.nyse.com/quote/XNYS:HOT","HOT"
"https://www.nyse.com/quote/XNYS:STT","STT"
"http://www.nasdaq.com/symbol/srcl","SRCL"
"https://www.nyse.com/quote/XNYS:SYK","SYK"
"https://www.nyse.com/quote/XNYS:STI","STI"
"http://www.nasdaq.com/symbol/symc","SYMC"
"https://www.nyse.com/quote/XNYS:SYY","SYY"
"http://www.nasdaq.com/symbol/trow","TROW"
"https://www.nyse.com/quote/XNYS:TGT","TGT"
"https://www.nyse.com/quote/XNYS:TEL","TEL"
"https://www.nyse.com/quote/XNYS:TE","TE"
"https://www.nyse.com/quote/XNYS:THC","THC"
"https://www.nyse.com/quote/XNYS:TDC","TDC"
"https://www.nyse.com/quote/XNYS:TSO","TSO"
"http://www.nasdaq.com/symbol/txn","TXN"
"https://www.nyse.com/quote/XNYS:TXT","TXT"
"https://www.nyse.com/quote/XNYS:HSY","HSY"
"https://www.nyse.com/quote/XNYS:TRV","TRV"
"https://www.nyse.com/quote/XNYS:TMO","TMO"
"https://www.nyse.com/quote/XNYS:TIF","TIF"
"https://www.nyse.com/quote/XNYS:TWX","TWX"
"https://www.nyse.com/quote/XNYS:TWC","TWC"
"https://www.nyse.com/quote/XNYS:TJX","TJX"
"https://www.nyse.com/quote/XNYS:TMK","TMK"
"https://www.nyse.com/quote/XNYS:TSS","TSS"
"http://www.nasdaq.com/symbol/tsco","TSCO"
"https://www.nyse.com/quote/XNYS:RIG","RIG"
"http://www.nasdaq.com/symbol/trip","TRIP"
"http://www.nasdaq.com/symbol/foxa","FOXA"
"https://www.nyse.com/quote/XNYS:TSN","TSN"
"https://www.nyse.com/quote/XNYS:TYC","TYC"
"https://www.nyse.com/quote/XNYS:USB","USB"
"https://www.nyse.com/quote/XNYS:UA","UA"
"https://www.nyse.com/quote/XNYS:UNP","UNP"
"https://www.nyse.com/quote/XNYS:UNH","UNH"
"https://www.nyse.com/quote/XNYS:UPS","UPS"
"https://www.nyse.com/quote/XNYS:MLM","MLM"
